Order ID,Order Creation Date,Release Time,Order Status,Product Price,Seller Voucher,Shopee Discount,Shopee Coins Redeemed,Shipping Fee Paid by Buyer,Shipping Fee Rebate From Shopee,Shipping Fee Borne by Seller,Actual Shipping Fee,Reverse Shipping Fee,Commission Fee,Transaction Fee,Service Fee,AMS Commission Fee,Lost Compensation,Product Service Tax (GST),Shipping Fee Service Tax (GST),Withholding Tax,Refund Amount,Final Amount
2619405351,2026-02-19,2026-02-28,Completed,12.90,0.00,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-0.71,-0.29,-0.27,-1.29,0.00,-0.10,-0.43,0.00,0.00,6.11
2619721005,2026-02-19,2026-02-28,Completed,89.00,-8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.41,-2.02,-1.68,0.00,0.00,-0.65,0.00,0.00,0.00,71.34
2620283524,2026-02-20,2026-02-28,Completed,12.90,0.00,0.00,0.00,5.00,2.00,-6.00,-5.75,0.00,-0.71,-0.29,-0.27,0.00,0.00,-0.10,-0.55,0.00,0.00,6.23
2620161529,2026-02-20,2026-02-28,Completed,35.90,0.00,0.00,0.00,5.00,2.00,-6.00,-5.75,0.00,-1.97,-0.81,-0.75,-3.59,17.95,-0.28,-0.55,0.00,0.00,41.15
2621338483,2026-02-21,2026-02-28,Completed,62.50,-3.12,-3.12,0.00,5.00,2.00,-6.00,-5.75,0.00,-3.09,-1.42,-1.18,0.00,0.00,-0.46,-0.55,0.00,0.00,44.81
2621108825,2026-02-21,2026-02-28,Cancelled,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48.00,-2.50
2622462543,2026-02-22,2026-02-28,Completed,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.44,-1.42,-1.31,0.00,0.00,-0.49,0.00,0.00,0.00,55.84
2622116498,2026-02-22,2026-02-28,Completed,48.00,0.00,-2.40,0.00,2.50,1.00,-3.00,-2.87,0.00,-2.51,-1.09,-0.96,0.00,0.00,-0.36,-0.27,0.00,0.00,38.04
2623998077,2026-02-23,2026-02-28,Completed,89.00,-8.90,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-4.41,-2.02,-1.68,0.00,0.00,-0.65,-0.27,0.00,0.00,68.70
2623345678,2026-02-23,2026-02-28,Completed,89.00,0.00,0.00,-1.78,2.50,1.00,-3.00,-2.87,0.00,-4.89,-2.02,-1.87,-8.90,0.00,-0.70,-0.27,-0.89,0.00,65.31
2624404852,2026-02-24,2026-02-28,Completed,12.90,0.00,0.00,0.00,2.50,1.00,-3.00,-2.87,0.00,-0.71,-0.29,-0.27,-1.29,0.00,-0.10,-0.27,0.00,0.00,7.60
2624997844,2026-02-24,2026-02-28,Completed,129.00,-12.90,-6.45,-2.58,2.50,1.00,-3.00,-2.87,0.00,-6.03,-2.93,-2.30,0.00,0.00,-0.90,-0.27,-1.29,0.00,90.98
2625122625,2026-02-25,2026-02-28,Completed,210.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,-11.55,-4.77,-4.41,-21.00,0.00,-1.66,0.00,0.00,0.00,162.41
2625514890,2026-02-25,2026-02-28,Completed,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.55,-4.77,-4.41,-21.00,0.00,-1.66,0.00,0.00,0.00,166.61
2626500541,2026-02-26,2026-02-28,Completed,89.00,0.00,0.00,0.00,3.90,1.56,-4.68,-4.48,0.00,-4.89,-2.02,-1.87,0.00,0.00,-0.70,-0.43,-0.89,0.00,74.50
2626741540,2026-02-26,2026-02-28,Completed,19.50,-0.97,-0.97,0.00,5.00,2.00,-6.00,-5.75,0.00,-0.97,-0.44,-0.37,0.00,0.00,-0.14,-0.55,0.00,0.00,10.34
2627755768,2026-02-27,2026-02-28,Completed,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.09,-2.93,-2.71,0.00,0.00,-1.02,0.00,0.00,0.00,115.25
2627273379,2026-02-27,2026-02-28,Cancelled,62.50,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.50,-5.62
2628742636,2026-02-28,2026-02-28,Completed,48.00,0.00,-2.40,0.00,3.90,1.56,-4.68,-4.48,0.00,-2.51,-1.09,-0.96,0.00,0.00,-0.36,-0.43,0.00,0.00,36.55
2628634750,2026-02-28,2026-02-28,Completed,19.50,-1.95,-0.97,0.00,2.50,1.00,-3.00,-2.87,0.00,-0.91,-0.44,-0.35,-1.95,0.00,-0.14,-0.27,0.00,0.00,10.15

Order ID,Adjustment Reason,Adjustment Date,Released Amount
2601294624,Lost Compensation,2026-02-24,44.50
2604694638,Overseas Return Service Fee,2026-02-25,-12.60
2608201206,Delivery Failure Fee,2026-02-26,-6.95
2512795017,Return refund for order settled in previous period,2026-02-11,-62.50
