Transaction Date,Transaction Type,Transaction Number,Order Number,Order Item ID,Item Name,Comment,Amount,Statement Period
2026-01-09,Seller Picks Commission,MY100037,710278307,710278307-1,Cotton Tote Bag,,-0.72,05 Jan 2026 - 11 Jan 2026
2026-01-06,Item Price Credit,MY100038,772008820,772008820-1,Poly Mailer 100pcs,,48.00,05 Jan 2026 - 11 Jan 2026
2026-01-06,Commission,MY100039,772008820,772008820-1,Poly Mailer 100pcs,,-2.16,05 Jan 2026 - 11 Jan 2026
2026-01-06,Payment Fee,MY100040,772008820,772008820-1,Poly Mailer 100pcs,,-1.57,05 Jan 2026 - 11 Jan 2026
2026-01-06,LCP Fee,MY100041,772008820,772008820-1,Poly Mailer 100pcs,,-4.80,05 Jan 2026 - 11 Jan 2026
2026-01-08,Item Price Credit,MY100042,749362030,749362030-1,Ceramic Mug 350ml,,48.00,05 Jan 2026 - 11 Jan 2026
2026-01-08,Commission,MY100043,749362030,749362030-1,Ceramic Mug 350ml,,-2.16,05 Jan 2026 - 11 Jan 2026
2026-01-08,Payment Fee,MY100044,749362030,749362030-1,Ceramic Mug 350ml,,-1.57,05 Jan 2026 - 11 Jan 2026
2026-01-08,Seller Picks Commission,MY100045,749362030,749362030-1,Ceramic Mug 350ml,,-1.44,05 Jan 2026 - 11 Jan 2026
2026-01-08,Reimbursements Withholding tax,MY100046,749362030,749362030-1,Ceramic Mug 350ml,,-0.48,05 Jan 2026 - 11 Jan 2026
2026-01-06,Item Price Credit,MY100047,740395232,740395232-1,Poly Mailer 100pcs,,35.90,05 Jan 2026 - 11 Jan 2026
2026-01-06,Commission,MY100048,740395232,740395232-1,Poly Mailer 100pcs,,-1.62,05 Jan 2026 - 11 Jan 2026
2026-01-06,Payment Fee,MY100049,740395232,740395232-1,Poly Mailer 100pcs,,-1.17,05 Jan 2026 - 11 Jan 2026
2026-01-06,Shipping Fee (Paid By Customer),MY100050,740395232,740395232-1,Poly Mailer 100pcs,,2.50,05 Jan 2026 - 11 Jan 2026
2026-01-06,Shipping Fee Paid by Seller,MY100051,740395232,740395232-1,Poly Mailer 100pcs,,-2.87,05 Jan 2026 - 11 Jan 2026
2026-01-06,Lazcoin discount,MY100052,740395232,740395232-1,Poly Mailer 100pcs,,-3.59,05 Jan 2026 - 11 Jan 2026
2026-01-06,Campaign Fee,MY100053,740395232,740395232-1,Poly Mailer 100pcs,,-0.72,05 Jan 2026 - 11 Jan 2026
2026-01-10,Item Price Credit,MY100054,722594637,722594637-1,Baby Hair Clip Set,,62.50,05 Jan 2026 - 11 Jan 2026
2026-01-10,Commission,MY100055,722594637,722594637-1,Baby Hair Clip Set,,-2.81,05 Jan 2026 - 11 Jan 2026
2026-01-10,Payment Fee,MY100056,722594637,722594637-1,Baby Hair Clip Set,,-2.04,05 Jan 2026 - 11 Jan 2026
2026-01-10,Shipping Fee (Paid By Customer),MY100057,722594637,722594637-1,Baby Hair Clip Set,,2.50,05 Jan 2026 - 11 Jan 2026
2026-01-10,Shipping Fee Paid by Seller,MY100058,722594637,722594637-1,Baby Hair Clip Set,,-2.87,05 Jan 2026 - 11 Jan 2026
2026-01-10,Promotional Charges Flexi-Combo,MY100059,722594637,722594637-1,Baby Hair Clip Set,,-3.12,05 Jan 2026 - 11 Jan 2026
2026-01-06,Item Price Credit,MY100060,709184320,709184320-1,Poly Mailer 100pcs,,24.00,05 Jan 2026 - 11 Jan 2026
2026-01-06,Commission,MY100061,709184320,709184320-1,Poly Mailer 100pcs,,-1.08,05 Jan 2026 - 11 Jan 2026
2026-01-06,Payment Fee,MY100062,709184320,709184320-1,Poly Mailer 100pcs,,-0.78,05 Jan 2026 - 11 Jan 2026
2026-01-06,Shipping Fee (Paid By Customer),MY100063,709184320,709184320-1,Poly Mailer 100pcs,,3.90,05 Jan 2026 - 11 Jan 2026
2026-01-06,Shipping Fee Paid by Seller,MY100064,709184320,709184320-1,Poly Mailer 100pcs,,-4.48,05 Jan 2026 - 11 Jan 2026
2026-01-06,Reimbursements Withholding tax,MY100065,709184320,709184320-1,Poly Mailer 100pcs,,-0.24,05 Jan 2026 - 11 Jan 2026
2026-01-07,Item Price Credit,MY100066,754658817,754658817-1,Cotton Tote Bag,,129.00,05 Jan 2026 - 11 Jan 2026
2026-01-07,Commission,MY100067,754658817,754658817-1,Cotton Tote Bag,,-5.80,05 Jan 2026 - 11 Jan 2026
2026-01-07,Payment Fee,MY100068,754658817,754658817-1,Cotton Tote Bag,,-4.22,05 Jan 2026 - 11 Jan 2026
2026-01-07,Shipping Fee (Paid By Customer),MY100069,754658817,754658817-1,Cotton Tote Bag,,2.50,05 Jan 2026 - 11 Jan 2026
2026-01-07,Shipping Fee Paid by Seller,MY100070,754658817,754658817-1,Cotton Tote Bag,,-2.87,05 Jan 2026 - 11 Jan 2026
2026-01-07,Shipping Fee Voucher (by Lazada),MY100071,754658817,754658817-1,Cotton Tote Bag,,1.25,05 Jan 2026 - 11 Jan 2026
2026-01-07,Promotional Charges Flexi-Combo,MY100072,754658817,754658817-1,Cotton Tote Bag,,-12.90,05 Jan 2026 - 11 Jan 2026
2026-01-07,Shipping Fee (Charged By 3P),MY100073,754658817,754658817-1,Cotton Tote Bag,,-37.41,05 Jan 2026 - 11 Jan 2026
2026-01-07,FBL Handling Fee,MY100074,754658817,754658817-1,Cotton Tote Bag,,-3.87,05 Jan 2026 - 11 Jan 2026
2026-01-07,Import Duties and Tax (Charged by 3PL),MY100075,754658817,754658817-1,Cotton Tote Bag,Cross-border shipment,-7.74,05 Jan 2026 - 11 Jan 2026
2026-01-05,Item Price Credit,MY100076,794605528,794605528-1,Ceramic Mug 350ml,,89.00,05 Jan 2026 - 11 Jan 2026
2026-01-05,Commission,MY100077,794605528,794605528-1,Ceramic Mug 350ml,,-4.00,05 Jan 2026 - 11 Jan 2026
2026-01-05,Payment Fee,MY100078,794605528,794605528-1,Ceramic Mug 350ml,,-2.91,05 Jan 2026 - 11 Jan 2026
2026-01-05,LCP Fee,MY100079,794605528,794605528-1,Ceramic Mug 350ml,,-4.45,05 Jan 2026 - 11 Jan 2026
2026-01-05,Shipping Fee (Charged By 3P),MY100080,794605528,794605528-1,Ceramic Mug 350ml,,-16.02,05 Jan 2026 - 11 Jan 2026
2026-01-05,FBL Handling Fee,MY100081,794605528,794605528-1,Ceramic Mug 350ml,,-2.67,05 Jan 2026 - 11 Jan 2026
2026-01-11,Item Price Credit,MY100082,704881336,704881336-1,Poly Mailer 100pcs,,35.90,05 Jan 2026 - 11 Jan 2026
2026-01-11,Commission,MY100083,704881336,704881336-1,Poly Mailer 100pcs,,-1.62,05 Jan 2026 - 11 Jan 2026
2026-01-11,Payment Fee,MY100084,704881336,704881336-1,Poly Mailer 100pcs,,-1.17,05 Jan 2026 - 11 Jan 2026
2026-01-11,Shipping Fee (Paid By Customer),MY100085,704881336,704881336-1,Poly Mailer 100pcs,,5.00,05 Jan 2026 - 11 Jan 2026
2026-01-11,Shipping Fee Paid by Seller,MY100086,704881336,704881336-1,Poly Mailer 100pcs,,-5.75,05 Jan 2026 - 11 Jan 2026
2026-01-07,Item Price Credit,MY100087,709853432,709853432-1,Baby Hair Clip Set,,129.00,05 Jan 2026 - 11 Jan 2026
2026-01-07,Commission,MY100088,709853432,709853432-1,Baby Hair Clip Set,,-5.80,05 Jan 2026 - 11 Jan 2026
2026-01-07,Payment Fee,MY100089,709853432,709853432-1,Baby Hair Clip Set,,-4.22,05 Jan 2026 - 11 Jan 2026
2026-01-07,Lazcoin discount,MY100090,709853432,709853432-1,Baby Hair Clip Set,,-12.90,05 Jan 2026 - 11 Jan 2026
2026-01-14,Item Price Credit,MY100091,754733462,754733462-1,Cotton Tote Bag,,62.50,12 Jan 2026 - 18 Jan 2026
2026-01-14,Commission,MY100092,754733462,754733462-1,Cotton Tote Bag,,-2.81,12 Jan 2026 - 18 Jan 2026
2026-01-14,Payment Fee,MY100093,754733462,754733462-1,Cotton Tote Bag,,-2.04,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee (Paid By Customer),MY100094,754733462,754733462-1,Cotton Tote Bag,,5.00,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee Paid by Seller,MY100095,754733462,754733462-1,Cotton Tote Bag,,-5.75,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee Voucher (by Lazada),MY100096,754733462,754733462-1,Cotton Tote Bag,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-14,Promotional Charges Vouchers,MY100097,754733462,754733462-1,Cotton Tote Bag,,-6.25,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee (Charged By 3P),MY100098,754733462,754733462-1,Cotton Tote Bag,,-11.25,12 Jan 2026 - 18 Jan 2026
2026-01-14,FBL Handling Fee,MY100099,754733462,754733462-1,Cotton Tote Bag,,-1.87,12 Jan 2026 - 18 Jan 2026
2026-01-14,Import Duties and Tax (Charged by 3PL),MY100100,754733462,754733462-1,Cotton Tote Bag,Cross-border shipment,-3.75,12 Jan 2026 - 18 Jan 2026
2026-01-16,Item Price Credit,MY100101,718473892,718473892-1,Cotton Tote Bag,,12.90,12 Jan 2026 - 18 Jan 2026
2026-01-16,Commission,MY100102,718473892,718473892-1,Cotton Tote Bag,,-0.58,12 Jan 2026 - 18 Jan 2026
2026-01-16,Payment Fee,MY100103,718473892,718473892-1,Cotton Tote Bag,,-0.42,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee (Paid By Customer),MY100104,718473892,718473892-1,Cotton Tote Bag,,5.00,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee Paid by Seller,MY100105,718473892,718473892-1,Cotton Tote Bag,,-5.75,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee Voucher (by Lazada),MY100106,718473892,718473892-1,Cotton Tote Bag,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-16,LCP Fee,MY100107,718473892,718473892-1,Cotton Tote Bag,,-0.64,12 Jan 2026 - 18 Jan 2026
2026-01-15,Item Price Credit,MY100108,782366294,782366294-1,Cotton Tote Bag,,210.00,12 Jan 2026 - 18 Jan 2026
2026-01-15,Commission,MY100109,782366294,782366294-1,Cotton Tote Bag,,-9.45,12 Jan 2026 - 18 Jan 2026
2026-01-15,Payment Fee,MY100110,782366294,782366294-1,Cotton Tote Bag,,-6.87,12 Jan 2026 - 18 Jan 2026
2026-01-15,Shipping Fee (Paid By Customer),MY100111,782366294,782366294-1,Cotton Tote Bag,,3.90,12 Jan 2026 - 18 Jan 2026
2026-01-15,Shipping Fee Paid by Seller,MY100112,782366294,782366294-1,Cotton Tote Bag,,-4.48,12 Jan 2026 - 18 Jan 2026
2026-01-15,Seller Funded Marketing Voucher,MY100113,782366294,782366294-1,Cotton Tote Bag,,-21.00,12 Jan 2026 - 18 Jan 2026
2026-01-18,Item Price Credit,MY100114,736975199,736975199-1,Cotton Tote Bag,,12.90,12 Jan 2026 - 18 Jan 2026
2026-01-18,Commission,MY100115,736975199,736975199-1,Cotton Tote Bag,,-0.58,12 Jan 2026 - 18 Jan 2026
2026-01-18,Payment Fee,MY100116,736975199,736975199-1,Cotton Tote Bag,,-0.42,12 Jan 2026 - 18 Jan 2026
2026-01-18,Shipping Fee (Paid By Customer),MY100117,736975199,736975199-1,Cotton Tote Bag,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-18,Shipping Fee Paid by Seller,MY100118,736975199,736975199-1,Cotton Tote Bag,,-2.87,12 Jan 2026 - 18 Jan 2026
2026-01-18,Shipping Fee Voucher (by Lazada),MY100119,736975199,736975199-1,Cotton Tote Bag,,1.25,12 Jan 2026 - 18 Jan 2026
2026-01-18,LCP Fee,MY100120,736975199,736975199-1,Cotton Tote Bag,,-1.29,12 Jan 2026 - 18 Jan 2026
2026-01-18,Shipping Fee (Charged By 3P),MY100121,736975199,736975199-1,Cotton Tote Bag,,-3.74,12 Jan 2026 - 18 Jan 2026
2026-01-18,FBL Handling Fee,MY100122,736975199,736975199-1,Cotton Tote Bag,,-0.39,12 Jan 2026 - 18 Jan 2026
2026-01-13,Item Price Credit,MY100123,798119160,798119160-1,Baby Hair Clip Set,,89.00,12 Jan 2026 - 18 Jan 2026
2026-01-13,Commission,MY100124,798119160,798119160-1,Baby Hair Clip Set,,-4.00,12 Jan 2026 - 18 Jan 2026
2026-01-13,Payment Fee,MY100125,798119160,798119160-1,Baby Hair Clip Set,,-2.91,12 Jan 2026 - 18 Jan 2026
2026-01-13,Promotional Charges Flexi-Combo,MY100126,798119160,798119160-1,Baby Hair Clip Set,,-4.45,12 Jan 2026 - 18 Jan 2026
2026-01-12,Item Price Credit,MY100127,730746423,730746423-1,Stainless Straw Set,,12.90,12 Jan 2026 - 18 Jan 2026
2026-01-12,Commission,MY100128,730746423,730746423-1,Stainless Straw Set,,-0.58,12 Jan 2026 - 18 Jan 2026
2026-01-12,Payment Fee,MY100129,730746423,730746423-1,Stainless Straw Set,,-0.42,12 Jan 2026 - 18 Jan 2026
2026-01-12,Shipping Fee (Paid By Customer),MY100130,730746423,730746423-1,Stainless Straw Set,,3.90,12 Jan 2026 - 18 Jan 2026
2026-01-12,Shipping Fee Paid by Seller,MY100131,730746423,730746423-1,Stainless Straw Set,,-4.48,12 Jan 2026 - 18 Jan 2026
2026-01-12,Shipping Fee Voucher (by Lazada),MY100132,730746423,730746423-1,Stainless Straw Set,,1.95,12 Jan 2026 - 18 Jan 2026
2026-01-12,Promotional Charges Bundles,MY100133,730746423,730746423-1,Stainless Straw Set,,-1.29,12 Jan 2026 - 18 Jan 2026
2026-01-16,Item Price Credit,MY100134,713752051,713752051-1,Stainless Straw Set,,62.50,12 Jan 2026 - 18 Jan 2026
2026-01-16,Commission,MY100135,713752051,713752051-1,Stainless Straw Set,,-2.81,12 Jan 2026 - 18 Jan 2026
2026-01-16,Payment Fee,MY100136,713752051,713752051-1,Stainless Straw Set,,-2.04,12 Jan 2026 - 18 Jan 2026
2026-01-16,Promotional Charges Vouchers,MY100137,713752051,713752051-1,Stainless Straw Set,,-6.25,12 Jan 2026 - 18 Jan 2026
2026-01-16,Campaign Fee,MY100138,713752051,713752051-1,Stainless Straw Set,,-1.25,12 Jan 2026 - 18 Jan 2026
2026-01-14,Item Price Credit,MY100139,749333091,749333091-1,Poly Mailer 100pcs,,129.00,12 Jan 2026 - 18 Jan 2026
2026-01-14,Commission,MY100140,749333091,749333091-1,Poly Mailer 100pcs,,-5.80,12 Jan 2026 - 18 Jan 2026
2026-01-14,Payment Fee,MY100141,749333091,749333091-1,Poly Mailer 100pcs,,-4.22,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee (Paid By Customer),MY100142,749333091,749333091-1,Poly Mailer 100pcs,,5.00,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee Paid by Seller,MY100143,749333091,749333091-1,Poly Mailer 100pcs,,-5.75,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee Voucher (by Lazada),MY100144,749333091,749333091-1,Poly Mailer 100pcs,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee (Charged By 3P),MY100145,749333091,749333091-1,Poly Mailer 100pcs,,-37.41,12 Jan 2026 - 18 Jan 2026
2026-01-14,Campaign Fee,MY100146,749333091,749333091-1,Poly Mailer 100pcs,,-2.58,12 Jan 2026 - 18 Jan 2026
2026-01-17,Item Price Credit,MY100147,784005601,784005601-1,Cotton Tote Bag,,24.00,12 Jan 2026 - 18 Jan 2026
2026-01-17,Commission,MY100148,784005601,784005601-1,Cotton Tote Bag,,-1.08,12 Jan 2026 - 18 Jan 2026
2026-01-17,Payment Fee,MY100149,784005601,784005601-1,Cotton Tote Bag,,-0.78,12 Jan 2026 - 18 Jan 2026
2026-01-17,Promotional Charges Bundles,MY100150,784005601,784005601-1,Cotton Tote Bag,,-2.40,12 Jan 2026 - 18 Jan 2026
2026-01-17,Shipping Fee (Charged By 3P),MY100151,784005601,784005601-1,Cotton Tote Bag,,-4.32,12 Jan 2026 - 18 Jan 2026
2026-01-17,Item Price Credit,MY100152,786967964,786967964-1,Baby Hair Clip Set,,19.50,12 Jan 2026 - 18 Jan 2026
2026-01-17,Commission,MY100153,786967964,786967964-1,Baby Hair Clip Set,,-0.88,12 Jan 2026 - 18 Jan 2026
2026-01-17,Payment Fee,MY100154,786967964,786967964-1,Baby Hair Clip Set,,-0.64,12 Jan 2026 - 18 Jan 2026
2026-01-17,Shipping Fee (Paid By Customer),MY100155,786967964,786967964-1,Baby Hair Clip Set,,3.90,12 Jan 2026 - 18 Jan 2026
2026-01-17,Shipping Fee Paid by Seller,MY100156,786967964,786967964-1,Baby Hair Clip Set,,-4.48,12 Jan 2026 - 18 Jan 2026
2026-01-17,Shipping Fee Voucher (by Lazada),MY100157,786967964,786967964-1,Baby Hair Clip Set,,1.95,12 Jan 2026 - 18 Jan 2026
2026-01-17,Lazcoin discount,MY100158,786967964,786967964-1,Baby Hair Clip Set,,-0.97,12 Jan 2026 - 18 Jan 2026
2026-01-16,Item Price Credit,MY100159,731566051,731566051-1,Baby Hair Clip Set,,62.50,12 Jan 2026 - 18 Jan 2026
2026-01-16,Commission,MY100160,731566051,731566051-1,Baby Hair Clip Set,,-2.81,12 Jan 2026 - 18 Jan 2026
2026-01-16,Payment Fee,MY100161,731566051,731566051-1,Baby Hair Clip Set,,-2.04,12 Jan 2026 - 18 Jan 2026
2026-01-16,LCP Fee,MY100162,731566051,731566051-1,Baby Hair Clip Set,,-3.12,12 Jan 2026 - 18 Jan 2026
2026-01-16,Seller Picks Commission,MY100163,731566051,731566051-1,Baby Hair Clip Set,,-1.87,12 Jan 2026 - 18 Jan 2026
2026-01-14,Item Price Credit,MY100164,703925759,703925759-1,Ceramic Mug 350ml,,62.50,12 Jan 2026 - 18 Jan 2026
2026-01-14,Commission,MY100165,703925759,703925759-1,Ceramic Mug 350ml,,-2.81,12 Jan 2026 - 18 Jan 2026
2026-01-14,Payment Fee,MY100166,703925759,703925759-1,Ceramic Mug 350ml,,-2.04,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee (Paid By Customer),MY100167,703925759,703925759-1,Ceramic Mug 350ml,,5.00,12 Jan 2026 - 18 Jan 2026
2026-01-14,Shipping Fee Paid by Seller,MY100168,703925759,703925759-1,Ceramic Mug 350ml,,-5.75,12 Jan 2026 - 18 Jan 2026
2026-01-13,Item Price Credit,MY100169,720511169,720511169-1,Stainless Straw Set,,24.00,12 Jan 2026 - 18 Jan 2026
2026-01-13,Commission,MY100170,720511169,720511169-1,Stainless Straw Set,,-1.08,12 Jan 2026 - 18 Jan 2026
2026-01-13,Payment Fee,MY100171,720511169,720511169-1,Stainless Straw Set,,-0.78,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee (Paid By Customer),MY100172,720511169,720511169-1,Stainless Straw Set,,3.90,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee Paid by Seller,MY100173,720511169,720511169-1,Stainless Straw Set,,-4.48,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee Voucher (by Lazada),MY100174,720511169,720511169-1,Stainless Straw Set,,1.95,12 Jan 2026 - 18 Jan 2026
2026-01-13,Promotional Charges Vouchers,MY100175,720511169,720511169-1,Stainless Straw Set,,-2.40,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee (Charged By 3P),MY100176,720511169,720511169-1,Stainless Straw Set,,-6.96,12 Jan 2026 - 18 Jan 2026
2026-01-13,FBL Handling Fee,MY100177,720511169,720511169-1,Stainless Straw Set,,-0.72,12 Jan 2026 - 18 Jan 2026
2026-01-13,Campaign Fee,MY100178,720511169,720511169-1,Stainless Straw Set,,-0.48,12 Jan 2026 - 18 Jan 2026
2026-01-14,Item Price Credit,MY100179,790232074,790232074-1,Cotton Tote Bag,,24.00,12 Jan 2026 - 18 Jan 2026
2026-01-14,Commission,MY100180,790232074,790232074-1,Cotton Tote Bag,,-1.08,12 Jan 2026 - 18 Jan 2026
2026-01-14,Payment Fee,MY100181,790232074,790232074-1,Cotton Tote Bag,,-0.78,12 Jan 2026 - 18 Jan 2026
2026-01-14,LCP Fee,MY100182,790232074,790232074-1,Cotton Tote Bag,,-2.40,12 Jan 2026 - 18 Jan 2026
2026-01-14,Campaign Fee,MY100183,790232074,790232074-1,Cotton Tote Bag,,-0.48,12 Jan 2026 - 18 Jan 2026
2026-01-18,Item Price Credit,MY100184,710352906,710352906-1,Stainless Straw Set,,89.00,12 Jan 2026 - 18 Jan 2026
2026-01-18,Commission,MY100185,710352906,710352906-1,Stainless Straw Set,,-4.00,12 Jan 2026 - 18 Jan 2026
2026-01-18,Payment Fee,MY100186,710352906,710352906-1,Stainless Straw Set,,-2.91,12 Jan 2026 - 18 Jan 2026
2026-01-18,Promotional Charges Bundles,MY100187,710352906,710352906-1,Stainless Straw Set,,-8.90,12 Jan 2026 - 18 Jan 2026
2026-01-16,Item Price Credit,MY100188,792247993,792247993-1,Cotton Tote Bag,,62.50,12 Jan 2026 - 18 Jan 2026
2026-01-16,Commission,MY100189,792247993,792247993-1,Cotton Tote Bag,,-2.81,12 Jan 2026 - 18 Jan 2026
2026-01-16,Payment Fee,MY100190,792247993,792247993-1,Cotton Tote Bag,,-2.04,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee (Paid By Customer),MY100191,792247993,792247993-1,Cotton Tote Bag,,5.00,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee Paid by Seller,MY100192,792247993,792247993-1,Cotton Tote Bag,,-5.75,12 Jan 2026 - 18 Jan 2026
2026-01-16,Shipping Fee Voucher (by Lazada),MY100193,792247993,792247993-1,Cotton Tote Bag,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-16,Lazcoin discount,MY100194,792247993,792247993-1,Cotton Tote Bag,,-6.25,12 Jan 2026 - 18 Jan 2026
2026-01-13,Item Price Credit,MY100195,701763785,701763785-1,Ceramic Mug 350ml,,12.90,12 Jan 2026 - 18 Jan 2026
2026-01-13,Commission,MY100196,701763785,701763785-1,Ceramic Mug 350ml,,-0.58,12 Jan 2026 - 18 Jan 2026
2026-01-13,Payment Fee,MY100197,701763785,701763785-1,Ceramic Mug 350ml,,-0.42,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee (Paid By Customer),MY100198,701763785,701763785-1,Ceramic Mug 350ml,,2.50,12 Jan 2026 - 18 Jan 2026
2026-01-13,Shipping Fee Paid by Seller,MY100199,701763785,701763785-1,Ceramic Mug 350ml,,-2.87,12 Jan 2026 - 18 Jan 2026
2026-01-13,Lazcoin discount,MY100200,701763785,701763785-1,Ceramic Mug 350ml,,-0.64,12 Jan 2026 - 18 Jan 2026
