Transaction Date,Transaction ID,Order SN,Buyer Username,Type,Amount,Status,Remarks
2026-03-19 09:40:00,TXN20260319048,2603191234567926,buyer_kevin,Buyer Payment,390.00,Completed,Order income
2026-03-19 11:20:00,TXN20260319049,2603151234567919,buyer_diana99,Refund to Buyer,-8.00,Completed,Partial refund - buyer cancelled
2026-03-19 14:00:00,TXN20260319050,2603191234567926,buyer_kevin,Reverse Shipping Fee,-12.00,Completed,Return shipping fee for item quality dispute
2026-03-20 10:15:00,TXN20260320051,2603201234567927,buyer_linda,Buyer Payment,115.00,Completed,Order income
2026-03-20 14:05:00,TXN20260320052,2603201234567928,buyer_mike,Buyer Payment,49.00,Completed,Order income
2026-03-21 09:20:00,TXN20260321053,2603211234567929,buyer_nancy,Buyer Payment,265.00,Completed,Order income
2026-03-21 13:50:00,TXN20260321054,2603211234567930,buyer_oscar,Buyer Payment,97.00,Completed,Order income
2026-03-22 00:00:00,TXN20260322055,,system,Shopee Commission,-102.60,Completed,Commission fee Week 3 (Mar 15-21)
2026-03-22 00:00:00,TXN20260322056,,system,Transaction Fee,-5.80,Completed,Payment transaction fee Week 3
2026-03-22 00:00:00,TXN20260322057,,system,Shipping Fee,-40.00,Completed,Shipping subsidy deduction Week 3
2026-03-22 11:00:00,TXN20260322058,2603221234567931,buyer_penny,Buyer Payment,178.00,Completed,Order income
2026-03-23 08:35:00,TXN20260323059,2603231234567932,buyer_quinn,Buyer Payment,60.00,Completed,Order income
2026-03-23 14:20:00,TXN20260323060,2603231234567933,buyer_rachel,Buyer Payment,445.00,Completed,Order income
2026-03-24 10:45:00,TXN20260324061,2603241234567934,buyer_steve,Buyer Payment,130.00,Completed,Order income
2026-03-24 15:10:00,TXN20260324062,2603241234567935,buyer_tina,Buyer Payment,72.50,Completed,Order income
2026-03-25 09:55:00,TXN20260325063,2603251234567936,buyer_uma,Buyer Payment,205.00,Completed,Order income
2026-03-25 16:00:00,TXN20260325064,2603191234567926,buyer_kevin,Refund to Buyer,-120.00,Completed,Full refund - item quality dispute (large anomaly)
2026-03-26 11:30:00,TXN20260326065,2603261234567937,buyer_victor,Buyer Payment,88.00,Completed,Order income
2026-03-27 09:10:00,TXN20260327066,2603271234567938,buyer_wendy,Buyer Payment,340.00,Completed,Order income
2026-03-27 10:00:00,TXN20260327067,,system,Service Fee,-8.00,Completed,Shopee Ads campaign fee
2026-03-28 10:25:00,TXN20260328068,2603281234567939,buyer_xander,Buyer Payment,52.00,Completed,Order income
2026-03-29 14:35:00,TXN20260329069,2603291234567940,buyer_yara,Buyer Payment,163.00,Completed,Order income
2026-03-30 11:50:00,TXN20260330070,2603301234567941,buyer_zane,Buyer Payment,275.00,Completed,Order income
2026-03-31 00:00:00,TXN20260331071,,system,Shopee Commission,-123.84,Completed,Commission fee Week 4 (Mar 22-30)
2026-03-31 00:00:00,TXN20260331072,,system,Transaction Fee,-7.10,Completed,Payment transaction fee Week 4
2026-03-31 00:00:00,TXN20260331073,,system,Shipping Fee,-45.50,Completed,Shipping subsidy deduction Week 4
2026-03-31 18:00:00,TXN20260331074,,system,Bank Transfer,7421.51,Completed,Shopee monthly settlement payout
