Transaction Date,Fee Classification,Fee Name,Order No.,Order Item No.,Amount,WHT Amount,Statement,Payment Ref ID
2026-01-02,Orders-Lazada Fees,Campaign Fee,794412114,794412114-1,-3.99,0.00,2026-01-31,PAY-SG-20260131
2026-01-02,Reimbursements,Withholding tax,794412114,794412114-1,-1.99,2.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Sales,Item Price Credit,734309023,734309023-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Lazada Fees,Commission,734309023,734309023-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Lazada Fees,Payment Fee,734309023,734309023-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Logistics,Shipping Fee (Paid By Customer),734309023,734309023-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Logistics,Shipping Fee Paid by Seller,734309023,734309023-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Sales,Item Price Credit,781943461,781943461-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Lazada Fees,Commission,781943461,781943461-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-03,Orders-Lazada Fees,Payment Fee,781943461,781943461-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Sales,Item Price Credit,738204755,738204755-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Commission,738204755,738204755-1,-0.88,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Payment Fee,738204755,738204755-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Sales,Item Price Credit,749993859,749993859-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Marketing Fees,Seller Funded Marketing Voucher,749993859,749993859-1,-2.40,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Commission,749993859,749993859-1,-2.05,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Payment Fee,749993859,749993859-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee (Paid By Customer),749993859,749993859-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee Paid by Seller,749993859,749993859-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee Voucher (by Lazada),749993859,749993859-1,1.25,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Sales,Item Price Credit,774548544,774548544-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Commission,774548544,774548544-1,-1.08,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Payment Fee,774548544,774548544-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee (Paid By Customer),774548544,774548544-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee Paid by Seller,774548544,774548544-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Logistics,Shipping Fee Voucher (by Lazada),774548544,774548544-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Reimbursements,Withholding tax,774548544,774548544-1,-0.24,0.24,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Sales,Item Price Credit,791826396,791826396-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Commission,791826396,791826396-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-04,Orders-Lazada Fees,Payment Fee,791826396,791826396-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Sales,Item Price Credit,717839790,717839790-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Lazada Fees,Commission,717839790,717839790-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Lazada Fees,Payment Fee,717839790,717839790-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Logistics,Shipping Fee (Paid By Customer),717839790,717839790-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Logistics,Shipping Fee Paid by Seller,717839790,717839790-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-05,Orders-Logistics,Shipping Fee Voucher (by Lazada),717839790,717839790-1,1.25,0.00,2026-01-31,PAY-SG-20260131
2026-01-06,Orders-Sales,Item Price Credit,718422428,718422428-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-06,Orders-Lazada Fees,Commission,718422428,718422428-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-06,Orders-Lazada Fees,Payment Fee,718422428,718422428-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Sales,Item Price Credit,731721748,731721748-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Marketing Fees,Seller Funded Marketing Voucher,731721748,731721748-1,-0.97,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Lazada Fees,Commission,731721748,731721748-1,-0.83,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Lazada Fees,Payment Fee,731721748,731721748-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Logistics,Shipping Fee (Paid By Customer),731721748,731721748-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Logistics,Shipping Fee Paid by Seller,731721748,731721748-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Sales,Item Price Credit,768596789,768596789-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Lazada Fees,Commission,768596789,768596789-1,-0.88,0.00,2026-01-31,PAY-SG-20260131
2026-01-07,Orders-Lazada Fees,Payment Fee,768596789,768596789-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Sales,Item Price Credit,728083415,728083415-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Lazada Fees,Commission,728083415,728083415-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Lazada Fees,Payment Fee,728083415,728083415-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Logistics,Shipping Fee (Paid By Customer),728083415,728083415-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Logistics,Shipping Fee Paid by Seller,728083415,728083415-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Logistics,Shipping Fee Voucher (by Lazada),728083415,728083415-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Sales,Item Price Credit,765627615,765627615-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Marketing Fees,Seller Funded Marketing Voucher,765627615,765627615-1,-1.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Lazada Fees,Commission,765627615,765627615-1,-1.03,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Lazada Fees,Payment Fee,765627615,765627615-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Logistics,Shipping Fee (Paid By Customer),765627615,765627615-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-08,Orders-Logistics,Shipping Fee Paid by Seller,765627615,765627615-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-09,Orders-Sales,Item Price Credit,731235606,731235606-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-09,Orders-Lazada Fees,Commission,731235606,731235606-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-09,Orders-Lazada Fees,Payment Fee,731235606,731235606-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-09,Refunds-Sales,Reversal Item Price,789114520,789114520-1,-48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-09,Refunds-Lazada Fees,Reversal Commission,789114520,789114520-1,2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Sales,Item Price Credit,720969570,720969570-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Marketing Fees,Lazcoin discount,720969570,720969570-1,-1.25,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Commission,720969570,720969570-1,-2.81,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Payment Fee,720969570,720969570-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee (Paid By Customer),720969570,720969570-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee Paid by Seller,720969570,720969570-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee Voucher (by Lazada),720969570,720969570-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Reimbursements,Withholding tax,720969570,720969570-1,-0.62,0.63,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Sales,Item Price Credit,742096635,742096635-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Marketing Fees,Seller Funded Marketing Voucher,742096635,742096635-1,-1.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Commission,742096635,742096635-1,-1.03,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Payment Fee,742096635,742096635-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee (Paid By Customer),742096635,742096635-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee Paid by Seller,742096635,742096635-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Sales,Item Price Credit,776137126,776137126-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Marketing Fees,Seller Funded Marketing Voucher,776137126,776137126-1,-1.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Commission,776137126,776137126-1,-1.03,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Payment Fee,776137126,776137126-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee (Paid By Customer),776137126,776137126-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee Paid by Seller,776137126,776137126-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Sales,Item Price Credit,782432482,782432482-1,19.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Marketing Fees,Seller Funded Marketing Voucher,782432482,782432482-1,-0.97,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Commission,782432482,782432482-1,-0.83,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Payment Fee,782432482,782432482-1,-0.64,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Campaign Fee,782432482,782432482-1,-0.37,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee (Paid By Customer),782432482,782432482-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Logistics,Shipping Fee Paid by Seller,782432482,782432482-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Sales,Item Price Credit,783991345,783991345-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Commission,783991345,783991345-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-10,Orders-Lazada Fees,Payment Fee,783991345,783991345-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Sales,Item Price Credit,770951337,770951337-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Lazada Fees,Commission,770951337,770951337-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Lazada Fees,Payment Fee,770951337,770951337-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Sales,Item Price Credit,777710431,777710431-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Marketing Fees,Lazcoin discount,777710431,777710431-1,-4.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Lazada Fees,Commission,777710431,777710431-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Lazada Fees,Payment Fee,777710431,777710431-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Logistics,Shipping Fee (Paid By Customer),777710431,777710431-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Logistics,Shipping Fee Paid by Seller,777710431,777710431-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Orders-Logistics,Shipping Fee Voucher (by Lazada),777710431,777710431-1,1.95,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Refunds-Sales,Reversal Item Price,794412114,794412114-1,-210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Refunds-Lazada Fees,Reversal Commission,794412114,794412114-1,8.98,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Refunds-Marketing Fees,Reversal Promotional Charges Vouchers,794412114,794412114-1,10.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-11,Refunds-Logistics,Return shipping fees,794412114,794412114-1,-2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,717486787,717486787-1,62.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Marketing Fees,Seller Funded Marketing Voucher,717486787,717486787-1,-3.12,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,717486787,717486787-1,-2.67,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,717486787,717486787-1,-2.04,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,718686926,718686926-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Marketing Fees,Promotional Charges Flexi-Combo,718686926,718686926-1,-1.92,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,718686926,718686926-1,-1.08,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,718686926,718686926-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee (Paid By Customer),718686926,718686926-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee Paid by Seller,718686926,718686926-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,738802617,738802617-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Marketing Fees,Seller Funded Marketing Voucher,738802617,738802617-1,-2.40,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,738802617,738802617-1,-2.05,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,738802617,738802617-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,759632723,759632723-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,759632723,759632723-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,759632723,759632723-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,768439284,768439284-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,768439284,768439284-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,768439284,768439284-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Campaign Fee,768439284,768439284-1,-1.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee (Paid By Customer),768439284,768439284-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee Paid by Seller,768439284,768439284-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,769918585,769918585-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,769918585,769918585-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,769918585,769918585-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee (Paid By Customer),769918585,769918585-1,2.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Logistics,Shipping Fee Paid by Seller,769918585,769918585-1,-2.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Sales,Item Price Credit,779447277,779447277-1,12.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Commission,779447277,779447277-1,-0.58,0.00,2026-01-31,PAY-SG-20260131
2026-01-12,Orders-Lazada Fees,Payment Fee,779447277,779447277-1,-0.42,0.00,2026-01-31,PAY-SG-20260131
2026-01-13,Orders-Sales,Item Price Credit,771379188,771379188-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-13,Orders-Lazada Fees,Commission,771379188,771379188-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-13,Orders-Lazada Fees,Payment Fee,771379188,771379188-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-13,Orders-Lazada Fees,Campaign Fee,771379188,771379188-1,-0.72,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,720213981,720213981-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,720213981,720213981-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,720213981,720213981-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee (Paid By Customer),720213981,720213981-1,5.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee Paid by Seller,720213981,720213981-1,-5.75,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,730023043,730023043-1,24.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Marketing Fees,Seller Funded Marketing Voucher,730023043,730023043-1,-1.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Marketing Fees,Promotional Charges Flexi-Combo,730023043,730023043-1,-1.92,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,730023043,730023043-1,-1.03,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,730023043,730023043-1,-0.78,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee (Paid By Customer),730023043,730023043-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee Paid by Seller,730023043,730023043-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,734840096,734840096-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Marketing Fees,Seller Funded Marketing Voucher,734840096,734840096-1,-6.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,734840096,734840096-1,-5.51,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,734840096,734840096-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Refunds-Sales,Reversal Item Price,742096635,742096635-1,-12.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Refunds-Lazada Fees,Reversal Commission,742096635,742096635-1,0.51,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,745412291,745412291-1,89.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,745412291,745412291-1,-4.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,745412291,745412291-1,-2.91,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee (Paid By Customer),745412291,745412291-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee Paid by Seller,745412291,745412291-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,793499067,793499067-1,35.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,793499067,793499067-1,-1.62,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,793499067,793499067-1,-1.17,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Sales,Item Price Credit,799604444,799604444-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Marketing Fees,Seller Funded Marketing Voucher,799604444,799604444-1,-10.50,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Commission,799604444,799604444-1,-8.98,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Payment Fee,799604444,799604444-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Lazada Fees,Campaign Fee,799604444,799604444-1,-3.99,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee (Paid By Customer),799604444,799604444-1,3.90,0.00,2026-01-31,PAY-SG-20260131
2026-01-14,Orders-Logistics,Shipping Fee Paid by Seller,799604444,799604444-1,-4.48,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Sales,Item Price Credit,723706620,723706620-1,129.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Commission,723706620,723706620-1,-5.80,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Payment Fee,723706620,723706620-1,-4.22,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Sales,Item Price Credit,766104821,766104821-1,48.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Commission,766104821,766104821-1,-2.16,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Payment Fee,766104821,766104821-1,-1.57,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Sales,Item Price Credit,789180642,789180642-1,210.00,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Marketing Fees,Lazcoin discount,789180642,789180642-1,-4.20,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Commission,789180642,789180642-1,-9.45,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Payment Fee,789180642,789180642-1,-6.87,0.00,2026-01-31,PAY-SG-20260131
2026-01-15,Orders-Lazada Fees,Campaign Fee,789180642,789180642-1,-4.20,0.00,2026-01-31,PAY-SG-20260131
